,Site,SiteID,count,flow_media,segnum,reachID,k,i,j,iseg,ireach,geometry,reachid
76,Mangaonuku Stream at Highway 50 Site 2,77,7,9028.800000000001,8161737,760,0,11,56,100,18,POINT (1898612.2 5596042.2),760
77,Mangaonuku Stream at Highway 50 Site 2_gaugings,78,7,9028.800000000001,8161737,760,0,11,56,100,18,POINT (1898612.2 5596042.2),760
78,Mangaonuku Stream at Opposite Quarry,79,3,161913.6,8168304,1567,0,52,62,215,1,POINT (1901619.2 5575527.6),1567
79,Mangaonuku Stream at Riverslea,80,1,19094.4,8165492,1290,0,32,59,169,2,POINT (1900516.3 5585735),1290
80,Mangaonuku Stream at Shed Access,81,12,22325.760000000002,8162742,1198,0,22,57,149,4,POINT (1899514.3 5590938.6),1198
81,Mangaonuku Stream at Shed Access_gaugings,82,12,22325.760000000002,8162742,1198,0,22,57,149,4,POINT (1899514.3 5590938.6),1198
82,Mangaonuku Stream at Site No.3,83,3,67651.20000000001,8167492,1523,0,47,61,207,2,POINT (1901518.6 5578229.6),1523
83,Mangaonuku Stream at State Highway 50,84,34,2993.76,8161737,772,0,16,56,100,30,POINT (1898612.9 5593540.3),772
84,Mangaonuku Stream at State Highway 50_gaugings,85,34,2993.76,8161737,772,0,16,56,100,30,POINT (1898612.9 5593540.3),772
85,Mangaonuku Stream at Transmission Line,86,4,19224.0,8166298,1421,0,41,61,185,4,POINT (1901117.7 5581231.8),1421
86,Mangaonuku Stream at Transmission Line_gaugings,87,4,19224.0,8166298,1421,0,41,61,185,4,POINT (1901117.7 5581231.8),1421
87,Mangaonuku Stream at Waipawa Tikokino Rd,88,19,122342.40000000001,8167764,1529,0,50,61,209,1,POINT (1901316.8 5576604.4),1529
88,Mangaonuku Stream at Waipawa Tikokino Rd_gaugings,89,19,122342.40000000001,8167764,1529,0,50,61,209,1,POINT (1901316.8 5576604.4),1529
89,Mangaonuku Trib at Stopbank,90,4,54432.0,8167972,668,0,51,61,88,1,POINT (1901118.7 5576328.1),668
90,Mangaonuku Trib at Stopbank_gaugings,91,4,54432.0,8167972,668,0,51,61,88,1,POINT (1901118.7 5576328.1),668
91,Mangaonuku Trib at Tributary 19,92,15,12960.0,8166391,1426,0,42,62,186,3,POINT (1901918.4 5580731.6),1426
92,Mangaonuku Trib at Tributary 19_gaugings,93,15,12960.0,8166391,1426,0,42,62,186,3,POINT (1901918.4 5580731.6),1426
93,Mangatewai Stream U/S Tukipo,94,2,22852.800000000003,8170597,1107,0,66,30,138,9,POINT (1885909.5 5568820.3),1107
94,Mangatewai Stream at Boyles Road,95,12,10173.6,8170323,323,0,65,5,50,4,POINT (1873501.8 5569418.4),323
95,Mangatewai Stream at Boyles Road_gaugings,96,12,10173.6,8170323,323,0,65,5,50,4,POINT (1873501.8 5569418.4),323
96,Mangatewai Stream at Burnside Road,97,2,49654.944,8170616,1150,0,66,36,141,18,POINT (1888695.4 5568775.8),1150
97,Mangatewai Stream at SH50 Kurinui,98,14,20761.920000000002,8170597,1099,0,67,27,138,1,POINT (1884408.7 5568319.7),1099
98,Mangatewai Stream at SH50 Kurinui_gaugings,99,14,20761.920000000002,8170597,1099,0,67,27,138,1,POINT (1884408.7 5568319.7),1099
99,Ongaonga Stream 800M U/S Tuki Confl,100,2,46310.4,8169000,1551,0,57,46,211,2,POINT (1894014.2 5573224.7),1551
100,Ongaonga Stream 800M U/S Tuki Confl_gaugings,101,2,46310.4,8169000,1551,0,57,46,211,2,POINT (1894014.2 5573224.7),1551
101,Ongaonga Stream at State Highway 50,102,2,2721.6000000000004,8168788,1451,0,51,42,192,3,POINT (1891812.1 5576426.4),1451
102,Ongaonga Stream at State Highway 50_gaugings,103,2,2721.6000000000004,8168788,1451,0,51,42,192,3,POINT (1891812.1 5576426.4),1451
103,Otutatahi Strm US Porangahau Strm,104,6,565.9200000000001,8172874,914,0,81,28,114,3,POINT (1884642.9 5561285.4),914
104,Otutatahi Strm US Porangahau Strm_gaugings,105,6,565.9200000000001,8172874,914,0,81,28,114,3,POINT (1884642.9 5561285.4),914
105,Parikaka Stream at Mill Road,106,9,1728.0,8169522,972,0,58,22,122,1,POINT (1881806.2 5572722),972
106,Parikaka Stream at Mill Road_gaugings,107,9,1728.0,8169522,972,0,58,22,122,1,POINT (1881806.2 5572722),972
107,Porangahau Stream at Fraser Road,108,2,1423.008,8171554,1309,0,73,38,171,6,POINT (1889912.7 5565118.5),1309
108,Porangahau Stream at Oruawhara Road,109,7,3991.6800000000003,8172001,1288,0,75,34,168,2,POINT (1887678.4 5564123.6),1288
109,Porangahau Stream at Oruawhara Road_gaugings,110,7,3991.6800000000003,8172001,1288,0,75,34,168,2,POINT (1887678.4 5564123.6),1288
110,Porangahau Stream at Paulsen Road,111,2,2626.5600000000004,8172415,1253,0,78,30,160,5,POINT (1885910.5 5562616.4),1253
111,Porangahau Strm US Maharakeke Strm,112,7,7724.160000000001,8171554,1321,0,72,48,171,18,POINT (1894841.9 5565583.6),1321
112,Porangahau Strm US Maharakeke Strm_gaugings,113,7,7724.160000000001,8171554,1321,0,72,48,171,18,POINT (1894841.9 5565583.6),1321
113,Porangahau Strm US Otutatahi Strm,114,6,1429.92,8172798,226,0,81,28,33,11,POINT (1884674.9 5561510.5),226
114,Porangahau Strm US Otutatahi Strm_gaugings,115,6,1429.92,8172798,226,0,81,28,33,11,POINT (1884674.9 5561510.5),226
115,Porangahau Strm at Takapau Ormondville Rd,116,6,427.68000000000006,8172798,218,0,81,23,33,3,POINT (1882276.4 5561330.1),218
116,Tangarewai Stream at Ashley Clinton Road,117,10,10946.880000000001,8169768,986,0,61,18,127,1,POINT (1880005.4 5571020.6),986
117,Tangarewai Stream at Ashley Clinton Road_gaugings,118,10,10946.880000000001,8169768,986,0,61,18,127,1,POINT (1880005.4 5571020.6),986
118,Tukipo River D/S Scenic Reserve,119,9,16580.16,8169544,944,0,55,25,120,8,POINT (1883123.8 5574195.2),944
119,Tukipo River D/S Scenic Reserve_gaugings,120,9,16580.16,8169544,944,0,55,25,120,8,POINT (1883123.8 5574195.2),944
120,Tukipo River U/S Makaretu Confluence,121,20,28102.464,8170372,1560,0,65,53,212,7,POINT (1897328.1 5569184.4),1560
121,Tukipo River U/S Makaretu Confluence_gaugings,122,20,28102.464,8170372,1560,0,65,53,212,7,POINT (1897328.1 5569184.4),1560
122,Tukipo River U/S Mangatewai,123,2,20165.760000000002,8170610,1487,0,66,30,200,1,POINT (1886009.6 5568820.3),1487
123,Tukipo River at 2Km U/S Site 42,124,2,25565.760000000002,8170145,1518,0,64,42,206,5,POINT (1892013.4 5569721.9),1518
124,Tukipo River at Ashcott Road,125,30,113443.20000000001,8170316,1565,0,65,54,214,3,POINT (1898017.6 5569422.7),1565
125,Tukipo River at Ashcott Road_gaugings,126,30,113443.20000000001,8170316,1565,0,65,54,214,3,POINT (1898017.6 5569422.7),1565
126,Tukipo River at Clinton-Makaretu Rd,127,14,7179.84,8168110,47,0,54,13,9,3,POINT (1877102.9 5574722.3),47
127,Tukipo River at Clinton-Makaretu Rd_gaugings,128,14,7179.84,8168110,47,0,54,13,9,3,POINT (1877102.9 5574722.3),47
128,Tukipo River at Distribution Lines,129,3,10800.0,8170321,1501,0,66,38,203,3,POINT (1889712 5568620.8),1501
129,Tukipo River at Fairfield Road,130,19,13392.0,8170321,1499,0,66,36,203,1,POINT (1888711.4 5568820.8),1499
130,Tukipo River at Fairfield Road_gaugings,131,19,13392.0,8170321,1499,0,66,36,203,1,POINT (1888711.4 5568820.8),1499
131,Tukipo River at Makaretu Rd Culvert,132,4,7214.400000000001,8169544,946,0,57,25,120,10,POINT (1883307.1 5573122.6),946
